label,message
spam,"URGENT: Income tax refund Rs 14,200 pending. Update bank details & pay service tax Rs 850 at http://incometax-refund-gov.in.net [Ref ID: 10021]"
spam,Work from home job offer! Earn Rs 5000 daily by processing simple UPI payments. Register at http://easy-money-pay.top [Ref ID: 10021]
spam,Electricity bill update: Previous payment failed. Pay Rs 3420 within 30 minutes to prevent line cut. Link: http://bill-pay-fast.online [Ref ID: 10021]
spam,"Bank Security Alert: Unauthorized transaction of Rs 45,000 detected. Click http://secure-bank-cancel.online immediately to reverse payment. [Ref ID: 10021]"
ham,Your electricity bill of Rs 1450 for A/C 400192839 is due on 25-Aug. Pay via official app. [Ref ID: 10030]
ham,"Hi Priya, sending you my share for dinner yesterday via UPI. Thanks! [Ref ID: 10030]"
ham,Your order #89211 from Amazon has been dispatched. Track your delivery on amazon.in [Ref ID: 10030]
ham,"Dear customer, your monthly SIP of Rs 5000 has been successfully debited. [Ref ID: 10030]"
ham,Recharge of Rs 299 for mobile 9876543210 is successful. Txn ID: 39401827491. [Ref ID: 10030]
ham,Meeting rescheduled to 4 PM today. Let me know if that works. [Ref ID: 10030]
ham,Your OTP for login is 482910. Do not share it with anyone. [Ref ID: 10030]
ham,Payment of Rs 450 received from Amit Sharma via Razorpay. [Ref ID: 10030]
ham,Reminder: Doctor appointment scheduled for tomorrow at 10 AM. [Ref ID: 10030]
ham,Your broadband plan expires in 3 days. Renew at Airtel Thanks App. [Ref ID: 10030]
spam,URGENT: Electricity power line will be disconnected tonight at 9.30pm. Pay overdue bill Rs 8742 immediately at hxxp://elect-pay-bill.top/pay [Ref ID: 10031]
spam,"DEAR CUSTOMER, your account is suspended due to missing KYC. Click http://bank-kyc-update.online to verify immediately or legal action will be taken. [Ref ID: 10031]"
spam,"Congratulations! You won a cash reward of Rs 25,000 from Razorpay Scratch Card. Collect now at http://razorpay-reward-claim.xyz [Ref ID: 10031]"
spam,COURIER ALERT: Parcel #IN-9402 held at customs due to unpaid duty Rs 1499. Pay urgently at http://customs-clearance-pay.com to release parcel. [Ref ID: 10031]
spam,Cyber Crime Notice: Your mobile number is flagged for illegal activities. Pay fine Rs 5000 at http://police-challan-pay.tech to avoid arrest warrant. [Ref ID: 10031]
spam,"Dear User, customer support refund of Rs 4999 is approved. Pay processing fee of Rs 199 at http://refund-support-portal.site to receive funds. [Ref ID: 10031]"
spam,"URGENT: Income tax refund Rs 14,200 pending. Update bank details & pay service tax Rs 850 at http://incometax-refund-gov.in.net [Ref ID: 10031]"
spam,Work from home job offer! Earn Rs 5000 daily by processing simple UPI payments. Register at http://easy-money-pay.top [Ref ID: 10031]
spam,Electricity bill update: Previous payment failed. Pay Rs 3420 within 30 minutes to prevent line cut. Link: http://bill-pay-fast.online [Ref ID: 10031]
spam,"Bank Security Alert: Unauthorized transaction of Rs 45,000 detected. Click http://secure-bank-cancel.online immediately to reverse payment. [Ref ID: 10031]"
ham,Your electricity bill of Rs 1450 for A/C 400192839 is due on 25-Aug. Pay via official app. [Ref ID: 10040]
ham,"Hi Priya, sending you my share for dinner yesterday via UPI. Thanks! [Ref ID: 10040]"
ham,Your order #89211 from Amazon has been dispatched. Track your delivery on amazon.in [Ref ID: 10040]
ham,"Dear customer, your monthly SIP of Rs 5000 has been successfully debited. [Ref ID: 10040]"
ham,Recharge of Rs 299 for mobile 9876543210 is successful. Txn ID: 39401827491. [Ref ID: 10040]
ham,Meeting rescheduled to 4 PM today. Let me know if that works. [Ref ID: 10040]
ham,Your OTP for login is 482910. Do not share it with anyone. [Ref ID: 10040]
ham,Payment of Rs 450 received from Amit Sharma via Razorpay. [Ref ID: 10040]
ham,Reminder: Doctor appointment scheduled for tomorrow at 10 AM. [Ref ID: 10040]
ham,Your broadband plan expires in 3 days. Renew at Airtel Thanks App. [Ref ID: 10040]
spam,URGENT: Electricity power line will be disconnected tonight at 9.30pm. Pay overdue bill Rs 8742 immediately at hxxp://elect-pay-bill.top/pay [Ref ID: 10041]
spam,"DEAR CUSTOMER, your account is suspended due to missing KYC. Click http://bank-kyc-update.online to verify immediately or legal action will be taken. [Ref ID: 10041]"
spam,"Congratulations! You won a cash reward of Rs 25,000 from Razorpay Scratch Card. Collect now at http://razorpay-reward-claim.xyz [Ref ID: 10041]"
spam,COURIER ALERT: Parcel #IN-9402 held at customs due to unpaid duty Rs 1499. Pay urgently at http://customs-clearance-pay.com to release parcel. [Ref ID: 10041]
spam,Cyber Crime Notice: Your mobile number is flagged for illegal activities. Pay fine Rs 5000 at http://police-challan-pay.tech to avoid arrest warrant. [Ref ID: 10041]
spam,"Dear User, customer support refund of Rs 4999 is approved. Pay processing fee of Rs 199 at http://refund-support-portal.site to receive funds. [Ref ID: 10041]"
spam,"URGENT: Income tax refund Rs 14,200 pending. Update bank details & pay service tax Rs 850 at http://incometax-refund-gov.in.net [Ref ID: 10041]"
spam,Work from home job offer! Earn Rs 5000 daily by processing simple UPI payments. Register at http://easy-money-pay.top [Ref ID: 10041]
spam,Electricity bill update: Previous payment failed. Pay Rs 3420 within 30 minutes to prevent line cut. Link: http://bill-pay-fast.online [Ref ID: 10041]
spam,"Bank Security Alert: Unauthorized transaction of Rs 45,000 detected. Click http://secure-bank-cancel.online immediately to reverse payment. [Ref ID: 10041]"
ham,Your electricity bill of Rs 1450 for A/C 400192839 is due on 25-Aug. Pay via official app. [Ref ID: 10050]
ham,"Hi Priya, sending you my share for dinner yesterday via UPI. Thanks! [Ref ID: 10050]"
ham,Your order #89211 from Amazon has been dispatched. Track your delivery on amazon.in [Ref ID: 10050]
ham,"Dear customer, your monthly SIP of Rs 5000 has been successfully debited. [Ref ID: 10050]"
ham,Recharge of Rs 299 for mobile 9876543210 is successful. Txn ID: 39401827491. [Ref ID: 10050]
ham,Meeting rescheduled to 4 PM today. Let me know if that works. [Ref ID: 10050]
ham,Your OTP for login is 482910. Do not share it with anyone. [Ref ID: 10050]
ham,Payment of Rs 450 received from Amit Sharma via Razorpay. [Ref ID: 10050]
ham,Reminder: Doctor appointment scheduled for tomorrow at 10 AM. [Ref ID: 10050]
ham,Your broadband plan expires in 3 days. Renew at Airtel Thanks App. [Ref ID: 10050]
spam,URGENT: Electricity power line will be disconnected tonight at 9.30pm. Pay overdue bill Rs 8742 immediately at hxxp://elect-pay-bill.top/pay [Ref ID: 10051]
spam,"DEAR CUSTOMER, your account is suspended due to missing KYC. Click http://bank-kyc-update.online to verify immediately or legal action will be taken. [Ref ID: 10051]"
spam,"Congratulations! You won a cash reward of Rs 25,000 from Razorpay Scratch Card. Collect now at http://razorpay-reward-claim.xyz [Ref ID: 10051]"
spam,COURIER ALERT: Parcel #IN-9402 held at customs due to unpaid duty Rs 1499. Pay urgently at http://customs-clearance-pay.com to release parcel. [Ref ID: 10051]
spam,Cyber Crime Notice: Your mobile number is flagged for illegal activities. Pay fine Rs 5000 at http://police-challan-pay.tech to avoid arrest warrant. [Ref ID: 10051]
spam,"Dear User, customer support refund of Rs 4999 is approved. Pay processing fee of Rs 199 at http://refund-support-portal.site to receive funds. [Ref ID: 10051]"
spam,"URGENT: Income tax refund Rs 14,200 pending. Update bank details & pay service tax Rs 850 at http://incometax-refund-gov.in.net [Ref ID: 10051]"
spam,Work from home job offer! Earn Rs 5000 daily by processing simple UPI payments. Register at http://easy-money-pay.top [Ref ID: 10051]
spam,Electricity bill update: Previous payment failed. Pay Rs 3420 within 30 minutes to prevent line cut. Link: http://bill-pay-fast.online [Ref ID: 10051]
spam,"Bank Security Alert: Unauthorized transaction of Rs 45,000 detected. Click http://secure-bank-cancel.online immediately to reverse payment. [Ref ID: 10051]"
ham,Your electricity bill of Rs 1450 for A/C 400192839 is due on 25-Aug. Pay via official app. [Ref ID: 10060]
ham,"Hi Priya, sending you my share for dinner yesterday via UPI. Thanks! [Ref ID: 10060]"
ham,Your order #89211 from Amazon has been dispatched. Track your delivery on amazon.in [Ref ID: 10060]
ham,"Dear customer, your monthly SIP of Rs 5000 has been successfully debited. [Ref ID: 10060]"
ham,Recharge of Rs 299 for mobile 9876543210 is successful. Txn ID: 39401827491. [Ref ID: 10060]
ham,Meeting rescheduled to 4 PM today. Let me know if that works. [Ref ID: 10060]
ham,Your OTP for login is 482910. Do not share it with anyone. [Ref ID: 10060]
ham,Payment of Rs 450 received from Amit Sharma via Razorpay. [Ref ID: 10060]
ham,Reminder: Doctor appointment scheduled for tomorrow at 10 AM. [Ref ID: 10060]
ham,Your broadband plan expires in 3 days. Renew at Airtel Thanks App. [Ref ID: 10060]
spam,URGENT: Electricity power line will be disconnected tonight at 9.30pm. Pay overdue bill Rs 8742 immediately at hxxp://elect-pay-bill.top/pay [Ref ID: 10061]
spam,"DEAR CUSTOMER, your account is suspended due to missing KYC. Click http://bank-kyc-update.online to verify immediately or legal action will be taken. [Ref ID: 10061]"
spam,"Congratulations! You won a cash reward of Rs 25,000 from Razorpay Scratch Card. Collect now at http://razorpay-reward-claim.xyz [Ref ID: 10061]"
spam,COURIER ALERT: Parcel #IN-9402 held at customs due to unpaid duty Rs 1499. Pay urgently at http://customs-clearance-pay.com to release parcel. [Ref ID: 10061]
spam,Cyber Crime Notice: Your mobile number is flagged for illegal activities. Pay fine Rs 5000 at http://police-challan-pay.tech to avoid arrest warrant. [Ref ID: 10061]
spam,"Dear User, customer support refund of Rs 4999 is approved. Pay processing fee of Rs 199 at http://refund-support-portal.site to receive funds. [Ref ID: 10061]"
spam,"URGENT: Income tax refund Rs 14,200 pending. Update bank details & pay service tax Rs 850 at http://incometax-refund-gov.in.net [Ref ID: 10061]"
spam,Work from home job offer! Earn Rs 5000 daily by processing simple UPI payments. Register at http://easy-money-pay.top [Ref ID: 10061]
spam,Electricity bill update: Previous payment failed. Pay Rs 3420 within 30 minutes to prevent line cut. Link: http://bill-pay-fast.online [Ref ID: 10061]
spam,"Bank Security Alert: Unauthorized transaction of Rs 45,000 detected. Click http://secure-bank-cancel.online immediately to reverse payment. [Ref ID: 10061]"
ham,Your electricity bill of Rs 1450 for A/C 400192839 is due on 25-Aug. Pay via official app. [Ref ID: 10070]
ham,"Hi Priya, sending you my share for dinner yesterday via UPI. Thanks! [Ref ID: 10070]"
ham,Your order #89211 from Amazon has been dispatched. Track your delivery on amazon.in [Ref ID: 10070]
ham,"Dear customer, your monthly SIP of Rs 5000 has been successfully debited. [Ref ID: 10070]"
ham,Recharge of Rs 299 for mobile 9876543210 is successful. Txn ID: 39401827491. [Ref ID: 10070]
ham,Meeting rescheduled to 4 PM today. Let me know if that works. [Ref ID: 10070]
ham,Your OTP for login is 482910. Do not share it with anyone. [Ref ID: 10070]
ham,Payment of Rs 450 received from Amit Sharma via Razorpay. [Ref ID: 10070]
ham,Reminder: Doctor appointment scheduled for tomorrow at 10 AM. [Ref ID: 10070]
ham,Your broadband plan expires in 3 days. Renew at Airtel Thanks App. [Ref ID: 10070]
spam,URGENT: Electricity power line will be disconnected tonight at 9.30pm. Pay overdue bill Rs 8742 immediately at hxxp://elect-pay-bill.top/pay [Ref ID: 10071]
spam,"DEAR CUSTOMER, your account is suspended due to missing KYC. Click http://bank-kyc-update.online to verify immediately or legal action will be taken. [Ref ID: 10071]"
spam,"Congratulations! You won a cash reward of Rs 25,000 from Razorpay Scratch Card. Collect now at http://razorpay-reward-claim.xyz [Ref ID: 10071]"
spam,COURIER ALERT: Parcel #IN-9402 held at customs due to unpaid duty Rs 1499. Pay urgently at http://customs-clearance-pay.com to release parcel. [Ref ID: 10071]
spam,Cyber Crime Notice: Your mobile number is flagged for illegal activities. Pay fine Rs 5000 at http://police-challan-pay.tech to avoid arrest warrant. [Ref ID: 10071]
spam,"Dear User, customer support refund of Rs 4999 is approved. Pay processing fee of Rs 199 at http://refund-support-portal.site to receive funds. [Ref ID: 10071]"
spam,"URGENT: Income tax refund Rs 14,200 pending. Update bank details & pay service tax Rs 850 at http://incometax-refund-gov.in.net [Ref ID: 10071]"
spam,Work from home job offer! Earn Rs 5000 daily by processing simple UPI payments. Register at http://easy-money-pay.top [Ref ID: 10071]
spam,Electricity bill update: Previous payment failed. Pay Rs 3420 within 30 minutes to prevent line cut. Link: http://bill-pay-fast.online [Ref ID: 10071]
spam,"Bank Security Alert: Unauthorized transaction of Rs 45,000 detected. Click http://secure-bank-cancel.online immediately to reverse payment. [Ref ID: 10071]"
ham,Your electricity bill of Rs 1450 for A/C 400192839 is due on 25-Aug. Pay via official app. [Ref ID: 10080]
ham,"Hi Priya, sending you my share for dinner yesterday via UPI. Thanks! [Ref ID: 10080]"
ham,Your order #89211 from Amazon has been dispatched. Track your delivery on amazon.in [Ref ID: 10080]
ham,"Dear customer, your monthly SIP of Rs 5000 has been successfully debited. [Ref ID: 10080]"
ham,Recharge of Rs 299 for mobile 9876543210 is successful. Txn ID: 39401827491. [Ref ID: 10080]
ham,Meeting rescheduled to 4 PM today. Let me know if that works. [Ref ID: 10080]
ham,Your OTP for login is 482910. Do not share it with anyone. [Ref ID: 10080]
ham,Payment of Rs 450 received from Amit Sharma via Razorpay. [Ref ID: 10080]
ham,Reminder: Doctor appointment scheduled for tomorrow at 10 AM. [Ref ID: 10080]
ham,Your broadband plan expires in 3 days. Renew at Airtel Thanks App. [Ref ID: 10080]
spam,URGENT: Electricity power line will be disconnected tonight at 9.30pm. Pay overdue bill Rs 8742 immediately at hxxp://elect-pay-bill.top/pay [Ref ID: 10081]
spam,"DEAR CUSTOMER, your account is suspended due to missing KYC. Click http://bank-kyc-update.online to verify immediately or legal action will be taken. [Ref ID: 10081]"
spam,"Congratulations! You won a cash reward of Rs 25,000 from Razorpay Scratch Card. Collect now at http://razorpay-reward-claim.xyz [Ref ID: 10081]"
spam,COURIER ALERT: Parcel #IN-9402 held at customs due to unpaid duty Rs 1499. Pay urgently at http://customs-clearance-pay.com to release parcel. [Ref ID: 10081]
spam,Cyber Crime Notice: Your mobile number is flagged for illegal activities. Pay fine Rs 5000 at http://police-challan-pay.tech to avoid arrest warrant. [Ref ID: 10081]
spam,"Dear User, customer support refund of Rs 4999 is approved. Pay processing fee of Rs 199 at http://refund-support-portal.site to receive funds. [Ref ID: 10081]"
spam,"URGENT: Income tax refund Rs 14,200 pending. Update bank details & pay service tax Rs 850 at http://incometax-refund-gov.in.net [Ref ID: 10081]"
spam,Work from home job offer! Earn Rs 5000 daily by processing simple UPI payments. Register at http://easy-money-pay.top [Ref ID: 10081]
spam,Electricity bill update: Previous payment failed. Pay Rs 3420 within 30 minutes to prevent line cut. Link: http://bill-pay-fast.online [Ref ID: 10081]
spam,"Bank Security Alert: Unauthorized transaction of Rs 45,000 detected. Click http://secure-bank-cancel.online immediately to reverse payment. [Ref ID: 10081]"
ham,Your electricity bill of Rs 1450 for A/C 400192839 is due on 25-Aug. Pay via official app. [Ref ID: 10090]
ham,"Hi Priya, sending you my share for dinner yesterday via UPI. Thanks! [Ref ID: 10090]"
ham,Your order #89211 from Amazon has been dispatched. Track your delivery on amazon.in [Ref ID: 10090]
ham,"Dear customer, your monthly SIP of Rs 5000 has been successfully debited. [Ref ID: 10090]"
ham,Recharge of Rs 299 for mobile 9876543210 is successful. Txn ID: 39401827491. [Ref ID: 10090]
ham,Meeting rescheduled to 4 PM today. Let me know if that works. [Ref ID: 10090]
ham,Your OTP for login is 482910. Do not share it with anyone. [Ref ID: 10090]
ham,Payment of Rs 450 received from Amit Sharma via Razorpay. [Ref ID: 10090]
ham,Reminder: Doctor appointment scheduled for tomorrow at 10 AM. [Ref ID: 10090]
ham,Your broadband plan expires in 3 days. Renew at Airtel Thanks App. [Ref ID: 10090]
spam,URGENT: Electricity power line will be disconnected tonight at 9.30pm. Pay overdue bill Rs 8742 immediately at hxxp://elect-pay-bill.top/pay [Ref ID: 10091]
spam,"DEAR CUSTOMER, your account is suspended due to missing KYC. Click http://bank-kyc-update.online to verify immediately or legal action will be taken. [Ref ID: 10091]"
spam,"Congratulations! You won a cash reward of Rs 25,000 from Razorpay Scratch Card. Collect now at http://razorpay-reward-claim.xyz [Ref ID: 10091]"
spam,COURIER ALERT: Parcel #IN-9402 held at customs due to unpaid duty Rs 1499. Pay urgently at http://customs-clearance-pay.com to release parcel. [Ref ID: 10091]
spam,Cyber Crime Notice: Your mobile number is flagged for illegal activities. Pay fine Rs 5000 at http://police-challan-pay.tech to avoid arrest warrant. [Ref ID: 10091]
spam,"Dear User, customer support refund of Rs 4999 is approved. Pay processing fee of Rs 199 at http://refund-support-portal.site to receive funds. [Ref ID: 10091]"
spam,"URGENT: Income tax refund Rs 14,200 pending. Update bank details & pay service tax Rs 850 at http://incometax-refund-gov.in.net [Ref ID: 10091]"
spam,Work from home job offer! Earn Rs 5000 daily by processing simple UPI payments. Register at http://easy-money-pay.top [Ref ID: 10091]
spam,Electricity bill update: Previous payment failed. Pay Rs 3420 within 30 minutes to prevent line cut. Link: http://bill-pay-fast.online [Ref ID: 10091]
spam,"Bank Security Alert: Unauthorized transaction of Rs 45,000 detected. Click http://secure-bank-cancel.online immediately to reverse payment. [Ref ID: 10091]"
ham,Your electricity bill of Rs 1450 for A/C 400192839 is due on 25-Aug. Pay via official app. [Ref ID: 10100]
ham,"Hi Priya, sending you my share for dinner yesterday via UPI. Thanks! [Ref ID: 10100]"
ham,Your order #89211 from Amazon has been dispatched. Track your delivery on amazon.in [Ref ID: 10100]
ham,"Dear customer, your monthly SIP of Rs 5000 has been successfully debited. [Ref ID: 10100]"
ham,Recharge of Rs 299 for mobile 9876543210 is successful. Txn ID: 39401827491. [Ref ID: 10100]
ham,Meeting rescheduled to 4 PM today. Let me know if that works. [Ref ID: 10100]
ham,Your OTP for login is 482910. Do not share it with anyone. [Ref ID: 10100]
ham,Payment of Rs 450 received from Amit Sharma via Razorpay. [Ref ID: 10100]
ham,Reminder: Doctor appointment scheduled for tomorrow at 10 AM. [Ref ID: 10100]
ham,Your broadband plan expires in 3 days. Renew at Airtel Thanks App. [Ref ID: 10100]
spam,URGENT: Electricity power line will be disconnected tonight at 9.30pm. Pay overdue bill Rs 8742 immediately at hxxp://elect-pay-bill.top/pay [Ref ID: 10101]
spam,"DEAR CUSTOMER, your account is suspended due to missing KYC. Click http://bank-kyc-update.online to verify immediately or legal action will be taken. [Ref ID: 10101]"
spam,"Congratulations! You won a cash reward of Rs 25,000 from Razorpay Scratch Card. Collect now at http://razorpay-reward-claim.xyz [Ref ID: 10101]"
spam,COURIER ALERT: Parcel #IN-9402 held at customs due to unpaid duty Rs 1499. Pay urgently at http://customs-clearance-pay.com to release parcel. [Ref ID: 10101]
spam,Cyber Crime Notice: Your mobile number is flagged for illegal activities. Pay fine Rs 5000 at http://police-challan-pay.tech to avoid arrest warrant. [Ref ID: 10101]
spam,"Dear User, customer support refund of Rs 4999 is approved. Pay processing fee of Rs 199 at http://refund-support-portal.site to receive funds. [Ref ID: 10101]"
spam,"URGENT: Income tax refund Rs 14,200 pending. Update bank details & pay service tax Rs 850 at http://incometax-refund-gov.in.net [Ref ID: 10101]"
spam,Work from home job offer! Earn Rs 5000 daily by processing simple UPI payments. Register at http://easy-money-pay.top [Ref ID: 10101]
spam,Electricity bill update: Previous payment failed. Pay Rs 3420 within 30 minutes to prevent line cut. Link: http://bill-pay-fast.online [Ref ID: 10101]
spam,"Bank Security Alert: Unauthorized transaction of Rs 45,000 detected. Click http://secure-bank-cancel.online immediately to reverse payment. [Ref ID: 10101]"
